Entity,Deaths
Afghanistan,173
Albania,31
Algeria,555
Andorra,51
Angola,3
Antigua and Barbuda,3
Argentina,382
Armenia,61
Australia,99
Austria,629
Azerbaijan,40
Bahamas,11
Bahrain,12
Bangladesh,349
Barbados,7
Belarus,171
Belgium,9080
Belize,2
Benin,2
Bhutan,0
Bolivia,174
Bosnia and Herzegovina,133
Botswana,1
Brazil,16853
Brunei,1
Bulgaria,110
Burkina Faso,51
Burma,6
Burundi,1
Cabo Verde,3
Cambodia,0
Cameroon,140
Canada,5960
Central African Republic,0
Chad,53
Chile,478
China,4638
Colombia,592
Comoros,1
Congo (Brazzaville),15
Congo (Kinshasa),61
Costa Rica,10
Cote d'Ivoire,28
Croatia,95
Cuba,79
Cyprus,17
Czechia,297
Denmark,548
Diamond Princess,13
Djibouti,7
Dominica,0
Dominican Republic,434
Ecuador,2799
Egypt,645
El Salvador,30
Equatorial Guinea,7
Eritrea,0
Estonia,64
Eswatini,2
Ethiopia,5
Fiji,0
Finland,300
France,28242
Gabon,11
Gambia,1
Georgia,12
Germany,8003
Ghana,29
Greece,165
Grenada,0
Guatemala,35
Guinea,16
Guinea-Bissau,4
Guyana,10
Haiti,21
Holy See,0
Honduras,146
Hungary,462
Iceland,10
India,3156
Indonesia,1191
Iran,7057
Iraq,127
Ireland,1547
Israel,276
Italy,32007
Jamaica,9
Japan,749
Jordan,9
Kazakhstan,35
Kenya,50
"Korea, South",263
Kosovo,29
Kuwait,118
Kyrgyzstan,14
Laos,0
Latvia,19
Lebanon,26
Lesotho,0
Liberia,22
Libya,3
Liechtenstein,1
Lithuania,59
Luxembourg,107
MS Zaandam,2
Madagascar,1
Malawi,3
Malaysia,113
Maldives,4
Mali,52
Malta,6
Mauritania,4
Mauritius,10
Mexico,5332
Moldova,217
Monaco,4
Mongolia,0
Montenegro,9
Morocco,192
Mozambique,0
Namibia,0
Nepal,2
Netherlands,5713
New Zealand,21
Nicaragua,8
Niger,55
Nigeria,191
North Macedonia,104
Norway,233
Oman,25
Pakistan,903
Panama,279
Papua New Guinea,0
Paraguay,11
Peru,2789
Philippines,831
Poland,936
Portugal,1231
Qatar,15
Romania,1120
Russia,2722
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,41
Sao Tome and Principe,7
Saudi Arabia,320
Senegal,26
Serbia,231
Seychelles,0
Sierra Leone,33
Singapore,22
Slovakia,28
Slovenia,104
Somalia,57
South Africa,286
South Sudan,4
Spain,27709
Sri Lanka,9
Sudan,105
Suriname,1
Sweden,3698
Switzerland,1886
Syria,3
Taiwan*,7
Tajikistan,41
Tanzania,21
Thailand,56
Timor-Leste,0
Togo,12
Trinidad and Tobago,8
Tunisia,46
Turkey,4171
US,90347
Uganda,0
Ukraine,535
United Arab Emirates,224
United Kingdom,34876
Uruguay,20
Uzbekistan,13
Venezuela,10
Vietnam,0
West Bank and Gaza,2
Western Sahara,0
Yemen,20
Zambia,7
Zimbabwe,4
